,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ribeira Grande,75,PT,1568141292,83,38.52,-28.7,69.8,2.24
1,Cape Town,40,ZA,1568141257,77,-33.93,18.42,60.01,9.17
2,Mahebourg,75,MU,1568141250,73,-20.41,57.7,69.8,9.17
3,Ishigaki,13,JP,1568141296,83,24.34,124.16,82.82,10.49
4,Hermanus,53,ZA,1568141297,85,-34.42,19.24,60.01,5.99
5,Surt,12,LY,1568141298,72,31.21,16.59,81.56,25.72
6,Melhus,0,NO,1568141299,93,63.29,10.28,64.4,5.82
7,Ushuaia,75,AR,1568141113,53,-54.81,-68.31,50.0,7.49
8,Saint-Philippe,90,CA,1568141302,63,45.36,-73.48,69.01,5.82
9,Rikitea,82,PF,1568141303,79,-23.12,-134.97,71.12,16.46
10,Chokurdakh,79,RU,1568141304,88,70.62,147.9,34.04,11.88
11,Mar del Plata,0,AR,1568141305,29,-46.43,-67.52,46.82,5.57
12,East London,0,ZA,1568141197,93,-33.02,27.91,60.8,3.36
13,San Patricio,49,PY,1568141308,61,-26.98,-56.83,74.36,9.1
14,Butaritari,100,KI,1568141309,92,3.07,172.79,77.24,10.31
15,Ahipara,9,NZ,1568141310,84,-35.17,173.16,56.36,17.11
16,Vaini,39,IN,1568141311,94,15.34,74.49,75.98,3.04
17,Atuona,75,PF,1568141313,77,-9.8,-139.03,79.58,24.25
18,Dikson,100,RU,1568141314,58,73.51,80.55,34.94,27.81
19,Klaksvik,100,FO,1568141315,100,62.23,-6.59,50.0,24.16
20,Guerrero,90,AR,1568141317,59,-24.19,-65.45,60.8,5.82
21,Bonavista,18,CA,1568141079,60,48.65,-53.11,62.01,8.01
22,Faya,40,SA,1568141319,82,18.39,42.45,71.6,9.17
23,Mataura,38,NZ,1568141320,79,-46.19,168.86,46.0,11.01
24,Quang Ngai,100,VN,1568141321,95,15.12,108.8,70.76,2.73
25,Te Anau,66,NZ,1568141323,69,-45.41,167.72,38.54,3.98
26,Tiksi,30,RU,1568141324,77,71.64,128.87,30.8,4.81
27,Arraial do Cabo,0,BR,1568141325,61,-22.97,-42.02,82.4,13.87
28,Lethem,33,GY,1568141326,50,3.38,-59.8,91.28,10.02
29,Kapaa,40,US,1568141328,66,22.08,-159.32,84.2,18.34
30,Port Alfred,0,ZA,1568141329,93,-33.59,26.89,62.01,3.15
31,San Lorenzo,20,HN,1568141330,52,13.43,-87.45,93.2,4.7
32,Teguise,40,ES,1568141331,69,29.06,-13.56,77.0,19.46
33,Campbell River,75,CA,1568141332,82,50.02,-125.24,64.4,2.24
34,Berlevag,0,NO,1568141334,62,70.86,29.09,55.4,11.41
35,Punta Arenas,0,CL,1568141335,61,-53.16,-70.91,48.2,20.8
36,Fairbanks,20,US,1568141314,87,64.84,-147.72,53.01,3.36
37,Airai,37,TL,1568141337,82,-8.93,125.41,65.36,4.65
38,Hambantota,0,LK,1568141338,82,6.12,81.12,81.92,17.02
39,Constitucion,5,MX,1568141339,52,23.99,-104.67,75.0,5.82
40,Busselton,36,AU,1568141341,74,-33.64,115.35,57.99,18.23
41,Walvis Bay,90,NA,1568141342,87,-22.95,14.51,55.0,16.11
42,Algiers,1,US,1568141343,55,29.94,-90.04,93.99,3.36
43,Pevek,100,RU,1568141345,73,69.7,170.27,46.64,15.43
44,Longyearbyen,75,NO,1568141346,70,78.22,15.63,44.6,13.87
45,Amudat,99,UG,1568141347,79,1.95,34.95,69.82,3.53
46,Luderitz,85,NA,1568141349,82,-26.65,15.16,59.0,12.75
47,Santa Rosa,65,AR,1568141354,43,-36.62,-64.29,60.68,4.05
48,Kruisfontein,28,ZA,1568141355,95,-34.0,24.73,61.0,1.32
49,Alyangula,31,AU,1568141357,93,-13.85,136.42,55.4,1.12
50,Cobh,75,IE,1568141358,93,51.85,-8.29,60.01,13.87
51,Sur,77,OM,1568141359,69,22.57,59.53,80.44,7.94
52,Albany,75,US,1568141309,78,42.65,-73.75,77.0,8.05
53,Bismarck,40,US,1568141361,72,46.81,-100.78,69.01,3.36
54,Babu,98,CN,1568141363,99,23.23,104.89,61.35,2.75
55,Bambous Virieux,75,MU,1568141364,73,-20.34,57.76,69.8,9.17
56,Victoria,75,BN,1568141366,88,5.28,115.24,80.6,3.51
57,Kaliua,31,TZ,1568141367,38,-5.06,31.79,76.12,3.89
58,Vanavara,75,RU,1568141368,94,60.35,102.28,45.7,3.67
59,Bubaque,69,GW,1568141369,81,11.28,-15.83,80.8,10.83
60,New Norfolk,91,AU,1568141256,62,-42.78,147.06,52.0,14.99
61,Kahului,20,US,1568141276,65,20.89,-156.47,82.4,14.99
62,Jamestown,42,AU,1568141373,59,-33.21,138.6,45.15,6.82
63,Barrow,85,AR,1568141374,62,-38.31,-60.23,55.24,10.51
64,Esperance,2,AU,1568141375,45,-33.86,121.89,66.2,14.99
65,Saskylakh,45,RU,1568141238,86,71.97,114.09,29.9,7.63
66,Buraydah,0,SA,1568141378,26,26.33,43.97,93.2,8.05
67,Puerto Ayora,75,EC,1568141379,57,-0.74,-90.35,75.2,21.92
68,Torbay,20,CA,1568141380,55,47.66,-52.73,64.0,14.99
69,Casper,1,US,1568141381,37,42.87,-106.31,69.01,12.75
70,Mount Isa,21,AU,1568141382,13,-20.73,139.49,60.8,9.17
71,Nanortalik,29,GL,1568141384,80,60.14,-45.24,40.84,9.64
72,Hengshui,95,CN,1568141385,85,37.73,115.7,64.77,4.9
73,Hasilpur,0,PK,1568141386,21,29.69,72.55,94.65,5.82
74,Bredasdorp,29,ZA,1568141387,67,-34.53,20.04,60.8,11.41
75,Pucallpa,0,PE,1568141389,27,-8.38,-74.54,103.47,1.1
76,Kavali,90,IN,1568141390,62,14.91,79.99,86.37,8.32
77,Greencastle,1,US,1568141206,62,39.64,-86.86,91.99,9.17
78,Isangel,91,VU,1568141368,77,-19.55,169.27,70.9,16.31
79,Mana,71,NG,1568141393,58,13.03,5.27,85.47,4.14
80,Saint-Francois,0,FR,1568141394,37,46.42,3.91,66.2,3.36
81,Eureka,75,US,1568141396,72,40.8,-124.16,68.0,11.41
82,Porto Torres,75,IT,1568141397,69,40.84,8.4,75.2,3.36
83,Det Udom,75,TH,1568141398,100,14.9,105.08,77.0,5.55
84,Tuktoyaktuk,75,CA,1568141399,66,69.44,-133.03,55.4,6.93
85,Guiratinga,21,BR,1568141401,12,-16.35,-53.76,105.1,5.19
86,Carnarvon,11,ZA,1568141402,10,-30.97,22.13,68.55,10.09
87,Cidreira,100,BR,1568141403,76,-30.17,-50.22,62.8,13.71
88,Sibolga,53,ID,1568141224,77,1.74,98.78,82.46,6.15
89,Lebu,75,ET,1568141284,82,8.96,38.73,59.0,4.7
90,Nemuro,33,JP,1568141407,68,43.32,145.57,61.9,7.02
91,Fortuna,75,US,1568141408,72,40.6,-124.16,70.0,11.41
92,San Policarpo,100,PH,1568141409,75,12.18,125.51,81.34,10.71
93,Bangkalan,19,ID,1568141410,94,-7.05,112.74,68.02,5.35
94,Bluff,0,AU,1568141412,39,-23.58,149.07,51.64,10.13
95,Pimentel,25,BR,1568141413,32,-3.7,-45.5,96.82,5.44
96,Nizwa,4,OM,1568141414,41,22.93,57.53,84.57,3.11
97,Cabo San Lucas,40,MX,1568141357,65,22.89,-109.91,89.01,8.05
98,Daru,30,PG,1568141417,78,-9.07,143.21,69.82,8.34
99,Qaanaaq,0,GL,1568141418,51,77.48,-69.36,27.87,4.27
100,Severo-Kurilsk,51,RU,1568141419,90,50.68,156.12,49.47,23.89
101,Elwood,1,US,1568141420,65,40.59,-99.86,84.99,11.41
102,Bilma,7,NE,1568141421,15,18.69,12.92,100.77,8.9
103,Manicore,60,BR,1568141423,32,-5.81,-61.3,97.54,1.43
104,Lodja,97,CD,1568141424,72,-3.52,23.6,76.47,3.04
105,Otjimbingwe,0,NA,1568141425,20,-22.35,16.13,64.95,9.01
106,Kodiak,1,US,1568141426,70,39.95,-94.76,87.01,10.29
107,Banda Aceh,98,ID,1568141427,73,5.56,95.32,83.67,16.28
108,Kiunga,90,PG,1568141429,90,-6.12,141.3,66.75,2.66
109,Geraldton,90,CA,1568141430,100,49.72,-86.95,48.2,10.29
110,Chuy,100,UY,1568141431,91,-33.69,-53.46,53.25,9.73
111,Itacare,20,BR,1568141432,74,-14.28,-39.0,80.6,10.29
112,Ikom,87,NG,1568141138,96,5.96,8.72,73.28,5.06
113,Yulara,0,AU,1568141435,28,-25.24,130.99,44.6,5.82
114,Boffa,50,GN,1568141436,82,10.18,-14.04,79.54,9.26
115,Aquiraz,0,BR,1568141438,58,-3.9,-38.39,84.2,19.46
116,Faanui,15,PF,1568141439,77,-16.48,-151.75,77.2,14.65
117,Port Blair,100,IN,1568141271,77,11.67,92.75,82.28,14.99
118,Narsaq,75,GL,1568141265,29,60.91,-46.05,51.8,9.17
119,Fenoarivo,20,MG,1568141442,82,-18.93,47.44,57.2,9.17
120,Olavarria,62,AR,1568141443,48,-36.89,-60.32,61.0,1.01
121,Mayo,90,CA,1568141445,40,63.59,-135.9,53.6,5.82
122,Talnakh,75,RU,1568141446,100,69.49,88.39,33.8,6.71
123,Shelburne,75,CA,1568141447,64,44.08,-80.2,75.0,4.7
124,Uch,0,FR,1568141448,59,45.32,-0.93,68.0,5.82
125,Hegang,7,CN,1568141450,95,47.34,130.28,44.25,5.48
126,Hofn,100,IS,1568141451,98,64.25,-15.21,36.52,5.82
127,Najran,40,SA,1568141452,31,17.54,44.22,91.4,9.17
128,Hirara,0,JP,1568141454,84,24.8,125.28,82.95,13.04
129,Thinadhoo,48,MV,1568141455,68,0.53,72.93,84.04,5.1
130,Port-Gentil,75,GA,1568141456,83,-0.72,8.78,78.8,11.41
131,Yellowknife,5,CA,1568141457,71,62.45,-114.38,57.2,9.17
132,Codrington,75,AU,1568141270,66,-28.95,153.24,55.4,9.17
133,Rocha,82,UY,1568141460,76,-34.48,-54.34,58.3,9.53
134,Santiago del Estero,100,AR,1568141461,61,-27.8,-64.26,59.92,10.22
135,Akdepe,0,TM,1568141463,45,42.05,59.39,62.6,6.93
136,Lake Shore,75,US,1568141464,72,46.49,-94.36,69.8,6.93
137,Bognor Regis,20,GB,1568141201,77,50.78,-0.67,64.4,8.05
138,Batagay,30,RU,1568141467,75,67.65,134.64,29.85,2.39
139,Grindavik,75,IS,1568141469,93,63.84,-22.43,51.8,6.93
140,Bud,75,NO,1568141470,87,62.91,6.91,57.2,6.93
141,Touros,20,BR,1568141471,58,-5.2,-35.46,84.2,12.75
142,Ancud,0,CL,1568141242,34,-41.87,-73.83,51.8,6.93
143,Lompoc,1,US,1568141473,56,34.64,-120.46,77.0,3.36
144,Port Elizabeth,1,US,1568141475,54,39.31,-74.98,84.99,6.93
145,Comodoro Rivadavia,20,AR,1568141476,61,-45.87,-67.48,46.4,9.17
146,Alofi,50,NU,1568141477,94,-19.06,-169.92,68.0,11.39
147,Prince Rupert,90,CA,1568141478,93,54.32,-130.32,55.4,2.24
148,Namibe,81,AO,1568141480,91,-15.19,12.15,66.57,9.95
149,Belaya Gora,0,RU,1568141481,89,68.54,146.19,30.75,7.85
150,Bagdarin,100,RU,1568141482,84,54.44,113.59,43.35,0.2
151,Karratha,49,AU,1568141483,56,-20.74,116.85,69.45,9.6
152,Castro,0,CL,1568141485,34,-42.48,-73.76,51.8,6.93
153,Erzin,0,TR,1568141486,74,36.95,36.2,82.0,3.36
154,Khatanga,94,RU,1568141487,86,71.98,102.47,31.47,5.61
155,Lithakia,20,GR,1568141488,73,37.72,20.83,78.8,6.2
156,Carballo,20,ES,1568141489,67,43.21,-8.69,64.0,5.82
157,Hilo,1,US,1568141286,74,19.71,-155.08,78.8,3.36
158,Naze,100,NG,1568141492,92,5.43,7.07,74.67,6.98
159,Kerman,20,IR,1568141493,6,30.29,57.06,78.8,9.17
160,Yeppoon,0,AU,1568141494,67,-23.13,150.74,57.2,6.93
161,Souillac,0,FR,1568141495,45,45.6,-0.6,68.0,5.82
162,Caravelas,64,BR,1568141497,65,-17.73,-39.27,78.1,13.02
163,Ushtobe,76,KZ,1568141498,47,45.25,77.98,59.2,9.44
164,Motygino,38,RU,1568141499,98,58.18,94.69,43.9,3.65
165,Khash,0,IR,1568141500,18,28.22,61.21,68.37,6.98
166,Hithadhoo,61,MV,1568141502,68,-0.6,73.08,84.22,5.39
167,San Cristobal,52,HN,1568141503,43,14.68,-86.92,86.2,8.86
168,Maniitsoq,31,GL,1568141504,70,65.42,-52.9,40.12,6.49
169,Scarborough,88,GB,1568141505,67,54.28,-0.41,59.0,5.82
170,Kavieng,97,PG,1568141506,78,-2.57,150.8,81.52,11.65
171,Barra,42,BR,1568141508,30,-11.09,-43.14,92.14,12.19
172,Ponta do Sol,27,BR,1568141251,24,-20.63,-46.0,90.02,4.05
173,Praia,0,BR,1568141510,21,-20.25,-43.81,89.6,5.82
174,Bathsheba,75,BB,1568141506,79,13.22,-59.52,84.2,4.7
175,Sangar,0,RU,1568141512,85,63.92,127.47,42.1,2.71
176,Kidodi,40,TZ,1568141514,75,-7.6,37.0,68.92,5.35
177,Tagab,1,AF,1568141515,13,34.85,69.65,77.0,13.87
178,Rockhampton,0,AU,1568141516,67,-23.38,150.51,57.2,6.93
179,Imbituba,0,BR,1568141223,53,-28.24,-48.67,77.0,19.46
180,Husavik,100,CA,1568141518,76,50.56,-96.99,59.0,5.99
181,Kalispell,90,US,1568141519,76,48.2,-114.32,61.0,13.87
182,Srednekolymsk,84,RU,1568141521,89,67.46,153.71,35.62,14.56
183,Coahuayana,80,MX,1568141522,72,18.62,-100.35,82.24,2.66
184,Inuvik,40,CA,1568141523,62,68.36,-133.71,55.4,2.24
185,Kamenka,88,MD,1568141524,70,48.03,28.7,59.0,5.28
186,Cumberland,90,US,1568141526,73,41.97,-71.43,73.99,3.36
187,Anaheim,75,US,1568141399,36,33.83,-117.91,77.0,4.7
188,Nikolskoye,0,RU,1568141528,68,59.7,30.79,68.0,6.71
189,Henties Bay,0,NA,1568141530,90,-22.12,14.28,55.0,8.01
190,Hasaki,75,JP,1568141531,94,35.73,140.83,78.8,5.82
191,Provideniya,83,RU,1568141532,88,64.42,-173.23,44.62,2.06
192,Tazovskiy,94,RU,1568141534,73,67.47,78.7,34.72,30.58
193,Bhilwara,95,IN,1568141535,78,25.35,74.64,80.97,8.23
194,Nishihara,75,JP,1568141536,94,35.74,139.53,80.01,3.36
195,Tashtyp,95,RU,1568141537,95,52.8,89.89,41.02,4.27
196,Mandalgovi,0,MN,1568141539,35,45.76,106.27,60.27,13.27
197,Cayenne,35,GF,1568141363,66,4.94,-52.33,89.6,11.41
198,Upernavik,97,GL,1568141541,96,72.79,-56.15,35.44,17.4
199,Tasiilaq,40,GL,1568141543,77,65.61,-37.64,39.2,6.93
200,Santo Antonio do Sudoeste,98,BR,1568141544,18,-26.07,-53.73,97.9,8.14
201,Primo Tapia,40,MX,1568141254,56,32.22,-116.92,75.99,8.05
202,Kavaratti,20,IN,1568141547,81,10.57,72.64,82.24,17.31
203,Glazov,48,RU,1568141548,87,58.14,52.65,49.47,2.62
204,Si Bun Ruang,100,TH,1568141549,92,16.97,102.28,73.95,3.31
205,Manuk Mangkaw,91,PH,1568141550,65,4.8,119.85,83.32,7.02
206,Maceio,40,BR,1568141551,69,-9.67,-35.74,80.6,12.75
207,Poronaysk,0,RU,1568141553,83,49.22,143.1,43.72,1.39
208,Sept-Iles,75,CA,1568141305,66,50.2,-66.38,55.4,11.41
209,Pontianak,100,ID,1568141556,78,-0.02,109.34,80.8,9.8
210,Solnechnyy,3,RU,1568141311,92,50.72,136.64,45.02,1.12
211,Hobart,91,AU,1568141261,62,-42.88,147.33,52.0,14.99
212,Grand Gaube,75,MU,1568141560,73,-20.01,57.66,69.8,9.17
213,Avarua,57,CK,1568141304,88,-21.21,-159.78,73.4,8.05
214,Puerto Madryn,68,AR,1568141375,53,-42.77,-65.04,48.22,13.18
215,Sfantu Gheorghe,0,RO,1568141564,49,44.65,26.83,75.0,4.7
216,Borovoy,75,RU,1568141565,89,63.23,52.89,49.3,3.2
217,Ogaminana,100,NG,1568141566,96,7.6,6.2,71.97,4.47
218,Mangrol,100,IN,1568141568,77,25.33,76.51,84.22,4.12
219,Nisia Floresta,20,BR,1568141569,54,-6.09,-35.21,84.2,19.46
220,Mumford,90,GH,1568141570,90,5.26,-0.76,76.3,4.61
221,Reconquista,100,AR,1568141571,86,-29.14,-59.64,59.37,9.01
222,Port Hardy,90,CA,1568141317,93,50.7,-127.42,57.2,4.7
223,Pasighat,100,IN,1568141574,97,28.06,95.33,70.54,2.62
224,Vila Velha,0,BR,1568141575,58,-3.71,-38.6,84.2,16.11
225,Viedma,100,AR,1568141576,58,-40.81,-62.99,48.75,11.52
226,Rio Gallegos,0,AR,1568141577,34,-51.62,-69.22,50.0,13.87
227,Kochubeyevskoye,0,RU,1568141579,39,44.64,41.85,66.0,17.9
228,Georgetown,40,GY,1568141479,74,6.8,-58.16,87.8,9.17
229,Batemans Bay,29,AU,1568141581,90,-35.71,150.18,41.0,1.99
230,Makkaveyevo,97,RU,1568141582,76,51.75,113.95,51.8,4.47
231,Bay Roberts,20,CA,1568141583,55,47.58,-53.28,64.0,14.99
232,Maningrida,20,AU,1568141585,94,-12.05,134.23,60.64,8.12
233,Jumla,58,NP,1568141586,98,29.28,82.18,53.8,2.04
234,Pacific Grove,1,US,1568141587,64,36.62,-121.92,73.99,14.99
235,Thompson,90,CA,1568141430,75,55.74,-97.86,44.6,10.29
236,Goderich,100,CA,1568141330,76,43.74,-81.71,75.99,1.01
237,Tashla,0,RU,1568141591,66,53.71,49.75,55.4,4.47
238,Hualmay,100,PE,1568141592,86,-11.1,-77.61,60.82,12.21
239,Takaungu,75,KE,1568141593,94,-3.68,39.86,75.2,8.05
240,Leningradskiy,69,RU,1568141594,92,69.38,178.42,41.55,8.88
241,Christchurch,0,NZ,1568141596,93,-43.53,172.64,43.0,14.99
242,Dongying,24,CN,1568141597,63,37.43,118.67,70.54,9.53
243,Vardo,40,US,1568141599,45,39.62,-77.74,86.0,9.17
244,Kenora,100,CA,1568141600,93,49.76,-94.48,53.6,14.99
245,Chany,68,RU,1568141601,84,55.31,76.76,45.7,7.63
246,Khuzdar,78,PK,1568141603,14,27.8,66.62,81.52,7.7
247,Palmer,0,AU,1568141604,75,-34.85,139.16,54.0,3.36
248,La Asuncion,100,AR,1568141606,88,-26.05,-65.39,46.6,5.12
249,Mathathane,0,BW,1568141607,14,-22.27,28.75,69.27,6.96
250,Shenjiamen,0,CN,1568141609,79,29.96,122.3,79.9,10.31
251,Doha,0,QA,1568141394,55,25.29,51.53,91.4,14.99
252,Baykit,100,RU,1568141611,94,61.68,96.39,42.82,5.12
253,Ketchikan,1,US,1568141407,68,55.34,-131.65,64.4,9.17
254,Saint Anthony,75,US,1568141614,93,43.97,-111.68,54.0,9.17
255,Dingle,100,PH,1568141615,81,11.0,122.67,76.84,6.15
256,Tsumeb,0,NA,1568141616,11,-19.25,17.72,57.2,3.36
257,San-Pedro,99,CI,1568141617,94,4.75,-6.64,74.5,4.5
258,Pennagaram,60,IN,1568141618,88,12.13,77.9,72.7,3.15
259,Tamandare,40,BR,1568141620,43,-8.28,-70.75,92.14,3.2
260,Namie,0,JP,1568141621,59,37.52,140.86,75.0,1.28
261,Malindi,75,KE,1568141623,94,-3.22,40.12,75.2,9.17
262,Liku,92,ID,1568141624,63,-0.73,119.89,80.62,10.04
263,Makakilo City,1,US,1568141625,65,21.35,-158.09,84.2,8.05
264,Ambilobe,48,MG,1568141626,66,-13.19,49.05,72.7,10.45
265,Nevel,67,RU,1568141628,86,56.02,29.92,62.97,8.43
266,Puerto Escondido,75,MX,1568141629,70,15.86,-97.07,86.0,6.93
267,Bethel,75,US,1568141630,87,60.79,-161.76,51.8,11.41
268,Zheleznodorozhnyy,63,RU,1568141631,77,55.75,38.0,66.0,4.27
269,Turukhansk,100,RU,1568141633,94,65.8,87.96,39.57,18.1
270,Wewak,87,PG,1568141634,90,-3.55,143.63,76.47,6.51
271,Burlatskoye,0,RU,1568141635,41,45.06,43.63,64.24,15.19
272,Tiznit,3,MA,1568141516,88,29.7,-9.73,70.35,15.41
273,Saint-Pierre,0,FR,1568141458,51,48.95,4.24,62.6,4.7
274,Emerald,0,AU,1568141639,32,-23.53,148.16,52.0,10.29
275,Labuhan,68,ID,1568141640,52,-2.54,115.51,68.02,2.64
276,Esso,99,RU,1568141642,96,55.93,158.7,35.07,9.55
